bowler,overs,maidens,runs,wickets,economy
Mohammed Shami,4.0,0,36,1,9.0
Prince Yadav,4.0,0,31,1,7.8
Digvesh Singh Rathi,4.0,0,31,1,7.8
George Linde,3.0,0,28,0,9.3
Avesh Khan,2.0,0,24,0,12.0
Aiden Markram,1.4,0,15,0,9.0
