Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,18
Runs,0,0,141
Balls,0,0,271
Highest,0,0,19
Average,0,0,9.4
SR,0,0,52.03
Not Out,0,0,3
Fours,0,0,10
Sixes,0,0,0
Ducks,0,0,2
