Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,23
Balls,0,0,359
Runs,0,0,297
Maidens,0,0,0
Wickets,0,0,25
Avg,0.0,0.0,11.88
Eco,0,0,4.96
SR,0.0,0.0,14.36
BBI,-/-,-/-,4/10
BBM,-/-,-/-,4/10
