bowler,overs,maidens,runs,wickets,economy
Boult,4,0,32,1,8.0
Coulter-Nile,4,0,51,1,12.8
Bumrah,4,0,22,1,5.5
Krunal Pandya,4,0,23,0,5.8
Rahul Chahar,4,0,18,2,4.5
