batter,runs,balls,fours,sixes,strike_rate,dismissal
Virat Kohli,35,34,3,1,102.94,b Harpreet Brar
Devdutt Padikkal,7,6,0,1,116.67,b Riley Meredith
Rajat Patidar,31,30,2,1,103.33,c Pooran b Chris Jordan
Glenn Maxwell,0,1,0,0,0.0,b Harpreet Brar
AB de Villiers,3,9,0,0,33.33,c Rahul b Harpreet Brar
Shahbaz Ahmed,8,11,1,0,72.73,c Harpreet Brar b Ravi Bishnoi
Daniel Sams,3,4,0,0,75.0,b Ravi Bishnoi
Kyle Jamieson,16,11,1,1,145.45,not out
Harshal Patel,31,13,3,2,238.46,c Ravi Bishnoi b Shami
Mohammed Siraj,0,1,0,0,0.0,not out
