Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,7
Balls,0,0,78
Runs,0,0,72
Maidens,0,0,0
Wickets,0,0,3
Avg,0.0,0.0,24.0
Eco,0,0,5.54
SR,0.0,0.0,26.0
BBI,-/-,-/-,2/13
BBM,-/-,-/-,2/13
