Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,10
Runs,0,0,40
Balls,0,0,65
Highest,0,0,13
Average,0,0,5
SR,0,0,61.54
Not Out,0,0,2
Fours,0,0,1
Sixes,0,0,0
Ducks,0,0,2
