Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
"NETHERLANDS TOUR OF NEW ZEALAND, 2022",3-45,NED,ODI,Mount Maunganui,29 Mar 22,4.7,9.4,1
"SOUTH AFRICA TOUR OF NEW ZEALAND, 2022",2-74 & 2-81,RSA,Test,Christchurch,25 Feb 22,2.7 & 3.8,27 & 21,10 & 2
"SOUTH AFRICA TOUR OF NEW ZEALAND, 2022",1-19 & 1-24,RSA,Test,Christchurch,17 Feb 22,1.7 & 4,11 & 6,4 & 0
"BANGLADESH TOUR OF NEW ZEALAND, 2022",2-32 & 4-82,BAN,Test,Christchurch,09 Jan 22,3.5 & 4.5,9 & 18,3 & 4
"BANGLADESH TOUR OF NEW ZEALAND, 2022",1-78 & 1-12,BAN,Test,Mount Maunganui,01 Jan 22,2.2 & 3.4,35 & 3.5,11 & 1
"NEW ZEALAND TOUR OF INDIA, 2021",0-36 & 0-15,IND,Test,Mumbai,03 Dec 21,3 & 1.8,12 & 8,3 & 2
"NEW ZEALAND TOUR OF INDIA, 2021",3-91 & 3-40,IND,Test,Kanpur,25 Nov 21,3.9 & 2.3,23.2 & 17,6 & 6
INDIAN PREMIER LEAGUE 2021,0-22,MI,T20,Dubai,26 Sep 21,11,2,0
INDIAN PREMIER LEAGUE 2021,0-26,KKR,T20,Abu Dhabi,20 Sep 21,13,2,0
ICC WORLD TEST CHAMPIONSHIP FINAL 2021,5-31 & 2-30,IND,Test,Southampton,18 Jun 21,1.4 & 1.2,22 & 24,12 & 10
"NEW ZEALAND TOUR OF ENGLAND, 2021",3-85 & 0-28,ENG,Test,London,02 Jun 21,3.2 & 1.8,26 & 15,8 & 6
INDIAN PREMIER LEAGUE 2021,2-32,PBKS,T20,Ahmedabad,30 Apr 21,10.6,3,0
INDIAN PREMIER LEAGUE 2021,1-32,DC,T20,Ahmedabad,27 Apr 21,8,4,0
INDIAN PREMIER LEAGUE 2021,0-31,CSK,T20,Mumbai,25 Apr 21,10.3,3,0
INDIAN PREMIER LEAGUE 2021,1-28,RR,T20,Mumbai,22 Apr 21,7,4,0
INDIAN PREMIER LEAGUE 2021,3-41,KKR,T20,Chennai,18 Apr 21,13.6,3,0
INDIAN PREMIER LEAGUE 2021,1-30,SRH,T20,Chennai,14 Apr 21,10,3,0
INDIAN PREMIER LEAGUE 2021,1-27,MI,T20,Chennai,09 Apr 21,6.7,4,0
"BANGLADESH TOUR OF NEW ZEALAND, 2021",1-30,BAN,ODI,Wellington,26 Mar 21,3.7,8,0
"BANGLADESH TOUR OF NEW ZEALAND, 2021",1-36,BAN,ODI,Christchurch,23 Mar 21,3.6,10,2
"BANGLADESH TOUR OF NEW ZEALAND, 2021",0-25,BAN,ODI,Dunedin,20 Mar 21,3.1,8,1
"AUSTRALIA TOUR OF NEW ZEALAND, 2021",0-49,AUS,T20I,Wellington,05 Mar 21,12.2,4,0
"AUSTRALIA TOUR OF NEW ZEALAND, 2021",0-38,AUS,T20I,Wellington,03 Mar 21,9.5,4,0
"AUSTRALIA TOUR OF NEW ZEALAND, 2021",0-56,AUS,T20I,Dunedin,25 Feb 21,14,4,0
"AUSTRALIA TOUR OF NEW ZEALAND, 2021",1-32,AUS,T20I,Christchurch,22 Feb 21,10.6,3,0
"PAKISTAN TOUR OF NEW ZEALAND, 2020-21",5-69 & 6-48,PAK,Test,Christchurch,03 Jan 21,3.2 & 2.4,21 & 20,8 & 6
"PAKISTAN TOUR OF NEW ZEALAND, 2020-21",3-35 & 2-35,PAK,Test,Mount Maunganui,26 Dec 20,1.5 & 1.3,23.2 & 26,13 & 13
"PAKISTAN TOUR OF NEW ZEALAND, 2020-21",1-22,PAK,T20I,Napier,22 Dec 20,9.1,2.4,0
"PAKISTAN TOUR OF NEW ZEALAND, 2020-21",0-43,PAK,T20I,Hamilton,20 Dec 20,10.7,4,0
"WEST INDIES TOUR OF NEW ZEALAND, 2020",5-34 & 2-43,WI,Test,Wellington,11 Dec 20,2.6 & 2.8,13 & 15,4 & 4
"WEST INDIES TOUR OF NEW ZEALAND, 2020",2-25 & 2-42,WI,Test,Hamilton,03 Dec 20,1.9 & 3.5,13 & 12,3 & 2
"WEST INDIES TOUR OF NEW ZEALAND, 2020",2-15,WI,T20I,Mount Maunganui,29 Nov 20,3.7,4,0
"WEST INDIES TOUR OF NEW ZEALAND, 2020",0-26,WI,T20I,Auckland,27 Nov 20,8.6,3,0
"INDIA TOUR OF NEW ZEALAND, 2020",5-45 & 0-18,IND,Test,Christchurch,29 Feb 20,3.2 & 2.2,14 & 8,3 & 4
"INDIA TOUR OF NEW ZEALAND, 2020",4-39 & 0-45,IND,Test,Wellington,21 Feb 20,2.4 & 2.3,16 & 19,3 & 7
"INDIA TOUR OF NEW ZEALAND, 2020",1-53,IND,ODI,Mount Maunganui,11 Feb 20,5.3,10,0
"INDIA TOUR OF NEW ZEALAND, 2020",2-42,IND,ODI,Auckland,08 Feb 20,4.2,10,1
