Stat,Test,ODI,T20,IPL
Matches,19,23,32,15
Innings,26,10,15,10
Runs,432,101,95,77
Balls,777,115,77,73
Highest,51,25,30,16
Average,19.64,25.25,10.56,15.4
SR,55.60,87.83,123.38,105.48
Not Out,4,6,6,5
Fours,38,7,10,6
Sixes,10,3,0,4
Ducks,3,0,1,0
