batter,runs,balls,fours,sixes,strike_rate,dismissal
Head,21,15,4,0,140.0,c Dhawan b Arshdeep Singh
Abhishek Sharma,16,11,2,1,145.45,c Shashank Singh b Sam Curran
Markram,0,2,0,0,0.0,c Jitesh Sharma b Arshdeep Singh
Nitish Reddy,64,37,4,5,172.97,c Rabada b Arshdeep Singh
Tripathi,11,14,1,0,78.57,c Jitesh Sharma b Harshal Patel
Klaasen,9,9,1,0,100.0,c Sam Curran b Harshal Patel
Abdul Samad,25,12,5,0,208.33,c Harshal Patel b Arshdeep Singh
Shahbaz Ahmed,14,7,1,1,200.0,not out
Cummins,3,4,0,0,75.0,b Rabada
Bhuvneshwar,6,8,0,0,75.0,c Bairstow b Sam Curran
Jaydev Unadkat,6,1,0,1,600.0,not out
