over,runs,wickets
1,5,0
2,2,0
3,5,0
4,15,0
5,9,0
6,11,0
7,11,0
8,2,0
9,8,0
10,7,0
11,8,0
12,8,0
13,6,0
14,6,0
15,2,0
16,4,0
17,4,0
18,6,0
19,13,0
20,7,0
