over,runs,wickets
1,8,0
2,2,0
3,0,0
4,4,0
5,4,0
6,0,0
7,5,0
8,0,0
9,6,0
10,2,0
11,5,0
12,1,0
13,1,0
14,4,0
15,3,0
16,0,0
17,5,0
18,9,0
19,6,0
20,9,0
21,4,0
22,5,0
23,4,0
24,0,0
25,9,0
26,5,0
27,0,0
28,0,0
29,3,0
30,6,0
31,4,0
32,3,0
33,8,0
34,3,0
35,4,0
36,2,0
37,5,0
38,5,0
39,1,0
40,3,0
41,9,0
42,7,0
43,0,0
44,5,0
45,2,0
46,7,0
47,4,0
48,1,0
49,6,0
50,6,0
51,0,0
52,2,0
53,4,0
54,6,0
55,6,0
56,6,0
57,0,0
58,10,0
59,0,0
60,1,0
61,9,0
62,5,0
63,0,0
64,3,0
65,3,0
66,5,0
67,0,0
68,2,0
69,2,0
70,2,0
71,4,0
72,4,0
73,5,0
74,3,0
75,0,0
76,5,0
77,1,0
78,3,0
79,4,0
80,1,0
81,1,0
82,1,0
83,1,0
84,7,0
85,0,0
86,1,0
87,12,0
88,1,0
89,2,0
90,4,0
91,5,0
92,0,0
93,2,0
94,0,0
95,2,0
96,6,0
97,2,0
98,6,0
99,4,0
100,0,0
101,6,0
102,7,0
103,2,0
104,1,0
105,3,0
106,11,0
107,0,0
108,1,0
109,1,0
110,4,0
111,1,0
112,0,0
113,6,0
114,0,0
115,12,0
116,7,0
117,3,0
118,0,0
