batter,runs,balls,fours,sixes,strike_rate,dismissal
David Warner,19,13,4,0,146.15,c Kohli b Vijaykumar Vyshak
Prithvi Shaw,0,2,0,0,0.0,run out (Anuj Rawat)
Mitchell Marsh,0,4,0,0,0.0,c Kohli b Parnell
Yash Dhull,1,4,0,0,25.0,lbw b Siraj
Manish Pandey,50,38,5,1,131.58,lbw b W Hasaranga
Abishek Porel,5,8,0,0,62.5,c Parnell b Harshal Patel
Axar Patel,21,14,3,0,150.0,c Siraj b Vijaykumar Vyshak
Aman Hakim Khan,18,10,1,1,180.0,c Kohli b Siraj
Lalit Yadav,4,7,0,0,57.14,c Maxwell b Vijaykumar Vyshak
Anrich Nortje,23,14,4,0,164.29,not out
Kuldeep Yadav,7,6,1,0,116.67,not out
