batter,runs,balls,fours,sixes,strike_rate,dismissal
Sanju Samson,42,33,3,2,127.27,c Henriques b Siraj
Sam Billings,13,9,3,0,144.44,c Deepak Hooda b Siraj
Karun Nair,33,23,5,1,143.48,run out ((sub)Vijay Shankar/Yuvraj)
Rishabh Pant,0,1,0,0,0.0,c Warner b Yuvraj
Shreyas Iyer,50,31,5,2,161.29,not out
Angelo Mathews,31,23,2,1,134.78,c (sub)Chris Jordan b S Kaul
