Stat,Test,ODI,T20,IPL
Matches,27,0,0,0
Innings,50,0,0,0
Runs,1413,0,0,0
Balls,2857,0,0,0
Highest,120,0,0,0
Average,29.44,0,0,0
SR,49.46,0,0,0
Not Out,2,0,0,0
Fours,163,0,0,0
Sixes,3,0,0,0
Ducks,5,0,0,0
