Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,23
Runs,0,0,58
Balls,0,0,133
Highest,0,0,13
Average,0,0,4.14
SR,0,0,43.61
Not Out,0,0,9
Fours,0,0,2
Sixes,0,0,0
Ducks,0,0,7
