Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,59
Balls,0,0,975
Runs,0,0,835
Maidens,0,0,6
Wickets,0,0,46
Avg,0.0,0.0,18.15
Eco,0,0,5.14
SR,0.0,0.0,21.2
BBI,-/-,-/-,3/11
BBM,-/-,-/-,3/11
