bowler,overs,maidens,runs,wickets,economy
Irfan Pathan,3,0,24,0,8.0
Siddarth Kaul,4,0,37,0,9.25
Ashish Nehra,4,0,37,0,9.25
Umesh Yadav,4,0,26,2,6.5
Johan Botha,2,0,23,0,11.5
Roelof van der Merwe,3,0,19,1,6.33
