over,runs,wickets
1,5,0
2,6,0
3,14,0
4,12,0
5,6,0
6,8,0
7,8,0
8,2,0
9,2,0
10,5,0
11,4,0
12,4,0
13,10,0
14,8,0
15,6,0
16,16,0
17,5,0
18,12,0
19,6,0
20,4,0
