over,runs,wickets
1,8,0
2,0,0
3,16,0
4,9,0
5,15,0
6,11,0
7,13,0
8,11,0
9,5,0
10,6,0
11,5,0
12,6,0
13,10,0
14,17,0
15,15,0
16,1,0
17,19,0
18,11,0
19,4,0
20,13,0
