bowler,overs,maidens,runs,wickets,economy
Boult,4,0,57,2,14.2
D Chahar,2,0,29,0,14.5
Bumrah,4,0,29,0,7.2
Will Jacks,1,0,10,0,10.0
Santner,4,0,40,0,10.0
Hardik Pandya,4,0,45,2,11.2
Vignesh Puthur,1,0,10,1,10.0
