bowler,overs,maidens,runs,wickets,economy
Shami,4,0,75,0,18.8
Cummins,4,0,40,0,10.0
Harshal Patel,4,0,42,4,10.5
Eshan Malinga,4,0,45,2,11.2
Zeeshan Ansari,4,0,41,0,10.2
