batter,runs,balls,fours,sixes,strike_rate,dismissal
Sourav Ganguly,24,26,4,0,92.31,c N Kulasekara b S Jakati
Murali Kartik,4,3,0,0,133.33,not out
Marlon Samuels,26,24,2,1,108.33,c N Kulasekara b R Ashwin
Robin Uthappa,8,5,2,0,160.0,c R Ashwin b N Kulasekara
Jesse Ryder,9,10,2,0,90.0,c DJ Bravo b N Kulasekara
Angelo Mathews,27,22,1,0,122.73,b DJ Bravo
Bhuvneshwar Kumar,2,4,0,0,50.0,not out
Manish Pandey,13,6,0,1,216.67,c S Badrinath b DJ Bravo
Steven Smith,23,21,0,0,109.52,c F du Plessis b D Bollinger
