Stat,Test,ODI,T20,IPL
Matches,4,8,10,116
Innings,7,8,10,115
Balls,474,342,208,2351
Runs,231,225,301,3504
Maidens,17,5,0,3
Wickets,3,9,14,114
Avg,77.0,25.0,21.5,30.74
Eco,2.92,3.95,8.68,8.94
SR,158.0,38.0,14.86,20.62
BBI,2/50,4/41,3/38,5/25
BBM,3/67,4/41,3/38,5/25
