Stat,Test,ODI,T20,IPL
Matches,3,6,17,40
Innings,4,2,4,5
Runs,0,10,5,10
Balls,6,16,5,18
Highest,0,6,4,6
Average,0,10,5,10
SR,0.00,62.50,100.00,55.56
Not Out,3,1,3,4
Fours,0,2,1,0
Sixes,0,0,0,0
Ducks,1,0,1,0
