Stat,Test,ODI,T20,IPL
Matches,78,114,61,124
Innings,149,113,61,124
Balls,17417,6180,1389,2780
Runs,8717,5146,1779,3935
Maidens,655,76,4,11
Wickets,317,211,83,145
Avg,27.5,24.39,21.43,27.14
Eco,3,5,7.68,8.49
SR,54.94,29.29,16.73,19.17
BBI,6/30,7/34,4/13,4/18
BBM,10/80,7/34,4/13,4/18
