over,runs,wickets
1,11,0
2,15,0
3,9,0
4,12,0
5,25,0
6,25,0
7,11,0
8,13,0
9,4,0
10,6,0
11,5,0
12,6,0
13,11,0
14,4,0
15,8,0
16,4,0
17,5,0
18,9,0
19,11,0
20,14,0
