Stat,Test,ODI,T20,IPL
Matches,24,50,51,0
Innings,33,35,14,0
Balls,1891,1054,120,0
Runs,1186,1023,152,0
Maidens,30,0,0,0
Wickets,20,19,6,0
Avg,59.3,53.84,25.33,0.0
Eco,3.76,5.82,7.6,0
SR,94.55,55.47,20.0,0.0
BBI,3/75,4/32,1/7,-/-
BBM,4/117,4/32,1/7,-/-
