over,runs,wickets
1,14,0
2,10,0
3,7,0
4,21,0
5,8,0
6,12,0
7,9,0
8,8,0
9,5,0
10,8,0
11,3,0
12,13,0
13,3,0
14,15,0
15,6,0
16,20,0
17,7,0
18,6,0
19,9,0
20,8,0
