over,runs,wickets
1,15,0
2,21,0
3,20,0
4,27,0
5,9,0
6,24,0
7,11,0
8,7,0
9,9,0
10,4,0
11,14,0
12,12,0
13,4,0
14,16,0
15,10,0
16,23,0
17,11,0
18,10,0
19,13,0
