Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,19
Runs,0,0,147
Balls,0,0,190
Highest,0,0,33
Average,0,0,10.5
SR,0,0,77.37
Not Out,0,0,5
Fours,0,0,11
Sixes,0,0,0
Ducks,0,0,3
