Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,6
Balls,0,0,102
Runs,0,0,98
Maidens,0,0,0
Wickets,0,0,2
Avg,0.0,0.0,49.0
Eco,0,0,5.76
SR,0.0,0.0,51.0
BBI,-/-,-/-,1/11
BBM,-/-,-/-,1/11
