bowler,overs,maidens,runs,wickets,economy
Umesh Yadav,3,0,36,0,12.0
Morne Morkel,4,1,18,2,4.5
Shakib Al Hasan,4,0,48,1,12.0
Sunil Narine,4,0,28,0,7.0
Andre Russell,3,0,21,0,7.0
Piyush Chawla,2,0,16,0,8.0
