Stat,Test,ODI,T20,IPL
Matches,0,0,0,42
Innings,0,0,0,12
Runs,0,0,0,10
Balls,0,0,0,27
Highest,0,0,0,2
Average,0,0,0,2.5
SR,0,0,0,37.04
Not Out,0,0,0,8
Fours,0,0,0,0
Sixes,0,0,0,0
Ducks,0,0,0,3
