bowler,overs,maidens,runs,wickets,economy
Shami,3.0,0,28,1,9.3
Cummins,4.0,0,21,2,5.2
Jaydev Unadkat,2.5,0,21,2,7.4
Harshal Patel,4.0,0,28,4,7.0
Zeeshan Ansari,3.0,0,27,0,9.0
Kamindu Mendis,3.0,0,26,1,8.7
