Stat,Test,ODI,T20,IPL
Matches,6,23,40,24
Innings,11,21,34,22
Runs,234,629,630,520
Balls,453,603,428,334
Highest,47,94,53,100
Average,21.27,33.11,22.5,27.37
SR,51.66,104.32,147.20,155.69
Not Out,0,2,6,3
Fours,17,55,59,43
Sixes,6,20,29,33
Ducks,1,2,1,0
