batter,runs,balls,fours,sixes,strike_rate,dismissal
Yuvraj Singh,2,5,0,0,40.0,c D Karthik b Aaron
Jean-Paul Duminy,13,14,2,0,92.86,c D Karthik b D Wiese
Amit Mishra,2,4,0,0,50.0,b M Starc
Angelo Mathews,0,1,0,0,0.0,c de Villiers b Aaron
Kedar Jadhav,33,29,4,0,113.79,c M Starc b Harshal Patel
Mayank Agarwal,27,34,1,1,79.41,st D Karthik b I Abdulla
Imran Tahir,3,4,0,0,75.0,not out
Nathan Coulter-Nile,4,8,1,0,50.0,lbw b D Wiese
Shahbaz Nadeem,2,7,0,0,28.57,b M Starc
Domnic Muthuswami,1,3,0,0,33.33,run out (de Villiers)
Shreyas Iyer,0,1,0,0,0.0,lbw b M Starc
