Stat,Test,ODI,T20,IPL
Matches,52,89,95,155
Innings,99,88,92,155
Balls,10031,4580,2014,3559
Runs,4631,3509,2188,4361
Maidens,395,57,12,7
Wickets,234,149,121,186
Avg,19.79,23.55,18.08,23.45
Eco,2.77,4.6,6.52,7.35
SR,42.87,30.74,16.64,19.13
BBI,6/27,6/19,4/15,5/10
BBM,9/86,6/19,4/15,5/10
