bowler,overs,maidens,runs,wickets,economy
Sandeep Sharma,2.0,0,21,0,10.5
Kyle Abbott,3.0,0,32,0,10.67
Mohit Sharma,3.1,0,29,0,9.35
Axar Patel,3.0,0,19,2,6.33
Pardeep Sahu,4.0,0,18,2,4.5
Glenn Maxwell,2.0,0,17,0,8.5
