batter,runs,balls,fours,sixes,strike_rate,dismissal
Mahmudul Hasan Joy,5,26,0,0,19.23,lbw b Mohammad Abbas
Shadman Islam,10,22,2,0,45.45,c Saud Shakeel b Hasan Ali
Mominul Haque,56,120,4,0,46.67,c Mohammad Rizwan b Shaheen Afridi
Najmul Hossain Shanto,87,150,7,0,58.0,lbw b Noman Ali
Mushfiqur Rahim,22,37,4,0,59.46,c Shan Masood b Hasan Ali
Litton Das,11,28,1,0,39.29,c Hasan Ali b Shaheen Afridi
Mehidy Hasan Miraz,24,27,3,1,88.89,c Salman Agha b Noman Ali
Taijul Islam,3,7,0,0,42.86,b Noman Ali
Taskin Ahmed,11,5,1,1,220.0,c Imam-ul-Haq b Hasan Ali
Ebadot Hossain,4,2,0,0,200.0,not out
