batter,runs,balls,fours,sixes,strike_rate,dismissal
Jos Buttler,54,24,8,3,225.0,b Lockie Ferguson
Devdutt Padikkal,0,1,0,0,0.0,c Shubman Gill b Yash Dayal
Ravichandran Ashwin,8,8,0,1,100.0,c Miller b Lockie Ferguson
Sanju Samson,11,11,0,1,100.0,run out (Hardik Pandya)
Rassie van der Dussen,6,10,0,0,60.0,c Wade b Yash Dayal
Shimron Hetmyer,29,17,2,1,170.59,c Rahul Tewatia b Shami
Riyan Parag,18,16,1,1,112.5,c Shubman Gill b Lockie Ferguson
James Neesham,17,15,1,0,113.33,c and b Hardik Pandya
Prasidh Krishna,4,7,0,0,57.14,not out
Yuzvendra Chahal,5,8,0,0,62.5,c Vijay Shankar b Yash Dayal
Kuldeep Sen,0,3,0,0,0.0,not out
