bowler,overs,maidens,runs,wickets,economy
Lizaad Williams,3.0,0,38,1,12.7
Khaleel Ahmed,3.0,0,28,0,9.3
Rasikh Dar Salam,2.3,0,30,0,12.0
Axar Patel,4.0,0,25,2,6.2
Kuldeep Yadav,4.0,0,34,0,8.5
