batter,runs,balls,fours,sixes,strike_rate,dismissal
Ruturaj Gaikwad,28,23,3,1,121.74,c (sub)Prabhudessai b Shahbaz Ahmed
Devon Conway,56,37,6,2,151.35,c Shahbaz Ahmed b W Hasaranga
Robin Uthappa,1,3,0,0,33.33,c (sub)Prabhudessai b Maxwell
Ambati Rayudu,10,8,0,1,125.0,b Maxwell
Moeen Ali,34,27,2,2,125.93,c Siraj b Harshal Patel
Ravindra Jadeja,3,5,0,0,60.0,c Kohli b Harshal Patel
MS Dhoni,2,3,0,0,66.67,c Rajat Patidar b Hazlewood
Dwaine Pretorius,13,8,1,1,162.5,c Kohli b Harshal Patel
Simarjeet Singh,2,2,0,0,100.0,not out
Maheesh Theekshana,7,4,0,1,175.0,not out
