over,runs,wickets
1,7,0
2,7,0
3,12,0
4,5,0
5,15,0
6,20,0
7,5,0
8,4,0
9,4,0
10,13,0
11,9,0
12,8,0
13,12,0
14,13,0
15,6,0
16,11,0
17,19,0
18,9,0
19,7,0
20,10,0
