Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,11
Runs,0,0,46
Balls,0,0,70
Highest,0,0,18
Average,0,0,6.57
SR,0,0,65.72
Not Out,0,0,4
Fours,0,0,4
Sixes,0,0,0
Ducks,0,0,0
