bowler,overs,maidens,runs,wickets,economy
R Topley,4,0,39,1,9.8
Yash Dayal,4,0,24,1,6.0
Siraj,4,0,47,1,11.8
Maxwell,4,0,23,2,5.8
Mayank Dagar,2,0,23,0,11.5
Green,2,0,25,0,12.5
