bowler,overs,maidens,runs,wickets,economy
Irfan Pathan,4,0,45,0,11.25
S Sreesanth,3,0,20,1,6.67
Shalabh Srivastava,4,0,49,1,12.25
Rusty Theron,4,0,25,0,6.25
Piyush Chawla,4,0,29,1,7.25
Yuvraj Singh,1,0,12,0,12.0
