batter,runs,balls,fours,sixes,strike_rate,dismissal
Sourav Ganguly,18,22,0,1,81.82,c Y Pathan b S Hasan
Yuvraj Singh,24,26,2,0,92.31,c S Goswami b L Balaji
Robin Uthappa,12,19,1,0,63.16,c B Lee b Y Pathan
Jesse Ryder,1,6,0,0,16.67,c M Tiwary b Y Pathan
Wayne Parnell,1,1,0,0,100.0,not out
Callum Ferguson,16,19,2,0,84.21,st S Goswami b S Hasan
Manish Pandey,16,12,3,0,133.33,lbw b I Abdulla
Sachin Rana,18,16,2,0,112.5,b L Balaji
