Stat,Test,ODI,T20,IPL
Matches,0,42,79,28
Innings,0,30,56,18
Runs,0,457,909,264
Balls,0,436,626,142
Highest,0,50,52,53
Average,0,17.58,28.41,26.4
SR,0,104.82,145.21,185.92
Not Out,0,4,24,8
Fours,0,40,51,18
Sixes,0,17,67,22
Ducks,0,3,4,2
