over,runs,wickets
1,18,0
2,7,0
3,9,0
4,8,0
5,12,0
6,5,0
7,4,0
8,3,0
9,11,0
10,6,0
11,13,0
12,12,0
13,11,0
14,4,0
15,9,0
16,7,0
17,3,0
18,3,0
19,9,0
20,11,0
