Stat,Test,ODI,T20,IPL
Matches,0,0,0,3
Innings,0,0,0,3
Balls,0,0,0,42
Runs,0,0,0,94
Maidens,0,0,0,0
Wickets,0,0,0,0
Avg,0.0,0.0,0.0,0.0
Eco,0,0,0,13.43
SR,0.0,0.0,0.0,0.0
BBI,-/-,-/-,-/-,0/17
BBM,-/-,-/-,-/-,0/17
