batter,runs,balls,fours,sixes,strike_rate,dismissal
Sourav Ganguly,32,34,2,1,94.12,c Kaif b Trivedi
Salman Butt,24,20,5,0,120.0,lbw b Patel
Ajit Agarkar,5,2,1,0,250.0,run out (Jadeja/Rawat)
Mohammad Hafeez,4,8,1,0,50.0,c Asnodkar b Patel
Umar Gul,7,4,0,1,175.0,c Kaif b Sohail Tanvir
David Hussey,11,15,2,0,73.33,b Pathan
Ishant Sharma,2,1,0,0,200.0,not out
Wriddhiman Saha,11,6,0,1,183.33,not out
Laxmi Shukla,15,10,1,1,150.0,c Asnodkar b Sohail Tanvir
Debabrata Das,31,20,1,2,155.0,b Sohail Tanvir
