bowler,overs,maidens,runs,wickets,economy
Mitchell Johnson,3.0,0,27,3,9.0
Pawan Suyal,3.0,0,21,1,7.0
Harbhajan Singh,4.0,0,13,1,3.25
Lasith Malinga,3.0,0,6,2,2.0
Pragyan Ojha,2.2,0,11,3,5.0
