Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,73
Runs,0,0,998
Balls,0,0,1236
Highest,0,0,70
Average,0,0,20.37
SR,0,0,80.75
Not Out,0,0,24
Fours,0,0,80
Sixes,0,0,0
Ducks,0,0,6
