Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,1
Balls,0,0,0
Runs,0,0,0
Maidens,0,0,0
Wickets,0,0,0
Avg,0.0,0.0,0.0
Eco,0,0,0
SR,0.0,0.0,0.0
BBI,-/-,-/-,0/0
BBM,-/-,-/-,0/0
