Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,72
Runs,0,0,1560
Balls,0,0,1770
Highest,0,0,100
Average,0,0,28.36
SR,0,0,88.14
Not Out,0,0,17
Fours,0,0,147
Sixes,0,0,12
Ducks,0,0,8
