over,runs,wickets
1,5,0
2,7,0
3,12,0
4,11,0
5,13,0
6,14,0
7,12,0
8,5,0
9,13,0
10,4,0
11,4,0
12,8,0
13,4,0
14,4,0
15,3,0
16,6,0
17,10,0
18,15,0
19,2,0
20,6,0
