Stat,Test,ODI,T20,IPL
Matches,2,13,24,12
Innings,4,12,20,12
Balls,450,422,347,180
Runs,310,413,477,296
Maidens,6,2,1,0
Wickets,4,14,26,11
Avg,77.5,29.5,18.35,26.91
Eco,4.13,5.87,8.25,9.87
SR,112.5,30.14,13.35,16.36
BBI,2/98,3/22,3/18,4/18
BBM,2/146,3/22,3/18,4/18
