Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,61
Balls,0,0,1084
Runs,0,0,921
Maidens,0,0,10
Wickets,0,0,38
Avg,0.0,0.0,24.24
Eco,0,0,5.1
SR,0.0,0.0,28.53
BBI,-/-,-/-,3/6
BBM,-/-,-/-,3/6
