Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,6
Runs,0,0,18
Balls,0,0,40
Highest,0,0,11
Average,0,0,4.5
SR,0,0,45.00
Not Out,0,0,2
Fours,0,0,1
Sixes,0,0,0
Ducks,0,0,2
