Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,17
Balls,0,0,342
Runs,0,0,292
Maidens,0,0,2
Wickets,0,0,18
Avg,0.0,0.0,16.22
Eco,0,0,5.12
SR,0.0,0.0,19.0
BBI,-/-,-/-,3/11
BBM,-/-,-/-,3/11
