batter,runs,balls,fours,sixes,strike_rate,dismissal
Ajinkya Rahane,1,5,0,0,20.0,c Rahul Tewatia b Warrier
Rachin Ravindra,1,2,0,0,50.0,run out (David Miller)
Ruturaj Gaikwad,0,3,0,0,0.0,c Rashid Khan b Umesh
Daryl Mitchell,63,34,7,3,185.29,c Shahrukh Khan b Mohit Sharma
Moeen Ali,56,36,4,4,155.56,c Noor Ahmad b Mohit Sharma
Shivam Dube,21,13,2,1,161.54,c Noor Ahmad b Mohit Sharma
Ravindra Jadeja,18,10,2,1,180.0,c David Miller b Rashid Khan
MS Dhoni,26,11,1,3,236.36,not out
Mitchell Santner,0,2,0,0,0.0,b Rashid Khan
Shardul Thakur,3,4,0,0,75.0,not out
