Stat,Test,ODI,T20,IPL
Matches,0,0,9,0
Innings,0,0,4,0
Runs,0,0,63,0
Balls,0,0,38,0
Highest,0,0,31,0
Average,0,0,31.5,0
SR,0,0,165.79,0
Not Out,0,0,2,0
Fours,0,0,4,0
Sixes,0,0,5,0
Ducks,0,0,0,0
