Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDONESIA T20I TRI-SERIES 2025,0-22,PHI,T20I,Bali,10 Jul 25,22,1,0
INDONESIA T20I TRI-SERIES 2025,0-5,IDN,T20I,Bali,09 Jul 25,5,1,0
INDONESIA T20I TRI-SERIES 2025,1-11,IDN,T20I,Bali,08 Jul 25,11,1,0
